Kunde;Kundename (SAP-Nr.);;Kundenprojekt;Umgebung;Status Installation;OK;Fehler;VM konfiguriert;Funktionen;ASSM-Ticket;VM-Hostname;VM-IP-Addresse;DB-SID;Erstellt;Erstellt von;Aktualisiert;Aktualisiert von;OUC-ID
6253 Chur (AMS);Psychiatrische Dienste Graubünden (3030552);150964708;ORBIS U auf ENTW + OASe;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS User Provisioning;;svr700010135;10.96.10.42;ENTW;2024.08;Henrik Schütz;2025.03;Marcel Hering;119599318
6253 Chur (AMS);Psychiatrische Dienste Graubünden (3030552);124058752;ORBIS U Installationen;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Monitoring 4U,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Wundmanagement,ORBIS User Provisioning;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0039642"">INT0039642</a>";svr700010101;10.96.10.11;TEST;2022.08;Kristin Dölz;2026.02;Henrik Schütz;119599318
6259 Liestal (AMS);Psychiatrie Baselland (3030540);124915224;ORBIS U auf KHV/ SST/ ENTW + Docker Imprivata;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Touch ID,ORBIS U Monitoring 4U,ORBIS User Provisioning;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0049781"">INT0049781</a>";li-obu02-lv;172.16.128.177;KHV;2023.03;Kristin Dölz;2026.01;Henrik Schütz;92148630
6259 Liestal (AMS);Psychiatrie Baselland (3030540);124915222;ORBIS U auf KHV/ SST/ ENTW + Docker Imprivata;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Touch ID;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0049781"">INT0049781</a>";li-obu01-lv;172.16.128.176;SST;2023.03;Kristin Dölz;2023.09;Peter Zupancic;92148630
6259 Liestal (AMS);Psychiatrie Baselland (3030540);124915229;ORBIS U auf KHV/ SST/ ENTW + Docker Imprivata;5. Entwicklungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Touch ID;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0049781"">INT0049781</a>";li-obu03-lv;172.16.128.178;ENTW;2023.03;Kristin Dölz;2023.09;Peter Zupancic;92148630
6274 Windisch (NonAMS);Psychiatrische Dienste Aargau AG (3040777);148341331;Installation OrbisU;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity);;s20024-srvl-003;10.10.50.120;PAGKHVP;2024.06;Kristin Dölz;2024.10;Stefan Kurztusch;139850898
6274 Windisch (NonAMS);Psychiatrische Dienste Aargau AG (3040777);148341332;Installation OrbisU;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity);;s20024-srvl-903;10.10.50.121;PAGKHVT;2024.06;Kristin Dölz;2024.10;Stefan Kurztusch;139850898
6527 Salzburg (NonAMS);Gem. Salzburger Landeskliniken Betriebsgesellschaft mbH (3031346);117835807;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U Pflege Assessments,ORBIS U Pflegemaßnahmen,ORBIS U Schnittstelle Imprivata;;u1ru047;192.168.102.47;KHV;2022.06;Kristin Dölz;2026.01;Peter Zupancic;92148898
6527 Salzburg (NonAMS);Gem. Salzburger Landeskliniken Betriebsgesellschaft mbH (3031346);46869298;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;2021.03;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U Pflegemaßnahmen,ORBIS U Wundmanagement,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle;;u1ru049;192.168.102.49;TST;2021.04;os_cmdb;2026.01;Viktor Rodak;92148898
6527 Salzburg (NonAMS);Gem. Salzburger Landeskliniken Betriebsgesellschaft mbH (3031346);46869320;ORBIS U Installation;4. Schulungs;Docker-Container installiert;ja;keine Fehler;2021.03;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Pflegemaßnahmen,ORBIS Unit Dose Automat Schnittstelle;;u2ru048;192.168.102.48;SST;2021.04;os_cmdb;2025.10;Henrik Schütz;92148898
6527 Salzburg (NonAMS);Gem. Salzburger Landeskliniken Betriebsgesellschaft mbH (3031346);124719376;ORBIS U auf SCL;4. Schulungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Pflegemaßnahmen,ORBIS U Pflegemaßnahmen,ORBIS U Wundmanagement,ORBIS Unit Dose Automat Schnittstelle;;u2ru050-lksdom21-lks-local;192.168.102.50;scl;2023.02;Kristin Dölz;2026.01;Viktor Rodak;92148898
6534 Pfäfers (AMS);St. Gallische Psychiatrie-Dienste Süd (3041747);181865501;"Basisinstallation ORBIS U auf KHV; TEST & SCHUL (DEV)";1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Security,ORBIS U Textbausteine;;s-2520;10.125.202.41;KHV;2026.02;Henrik Schütz;2026.02;Henrik Schütz;92148554
6534 Pfäfers (AMS);St. Gallische Psychiatrie-Dienste Süd (3041747);181865504;"Basisinstallation ORBIS U auf KHV; TEST & SCHUL (DEV)";3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U Pflege Assessments,ORBIS U Security,ORBIS U Textbausteine;;s-9520;10.125.202.50;TEST;2026.02;Henrik Schütz;2026.02;Henrik Schütz;92148554
